domain,definition,source_type,source,version_or_year,retrieved_on,decision
NRD fields,"KEY_NRD, NRD_VisitLink, NRD_DaysToEvent, diagnosis, procedure, sampling and hospital variables",official HCUP,https://hcup-us.ahrq.gov/db/nation/nrd/nrdfilespecs.jsp,2018-2022,2026-09-11,"Use only annual specifications; never infer column order"
NRD linkage,"Within-year VisitLink and patient-relative DaysToEvent",official HCUP,https://hcup-us.ahrq.gov/db/vars/nrd_visitlink/nrdnote.jsp,accessed 2026-09-11,2026-09-11,"No cross-year person linkage"
NRD timing,"DaysToEvent differences are valid only within one VisitLink",official HCUP,https://hcup-us.ahrq.gov/db/vars/nrd_daystoevent/nrdnote.jsp,accessed 2026-09-11,2026-09-11,"Index discharge time zero; gap 1-90 days primary"
ICD-10-CM,"K85.10, K80, K81, K83.0, K85 and severe diagnosis families",official CMS,https://www.cms.gov/medicare/coding-billing/icd-10-codes/2022-icd-10-cm,2018-2022 annual code sets,2026-09-11,"Principal-diagnosis middle composite is primary; any-diagnosis K80-K85 is sensitivity"
ICD-10-PCS,"0FT4 cholecystectomy, mechanical ventilation and endoscopic hepatobiliary procedure structure",official CMS,https://www.cms.gov/medicare/coding-billing/icd-10-codes/2022-icd-10-pcs,2018-2022 annual code sets,2026-09-11,"0FT4 prefix defines exposure; ERCP-compatible algorithm is secondary only"
Charlson and Elixhauser,"Quan ICD-10 comorbidity mappings",peer reviewed,https://doi.org/10.1097/01.mlr.0000182534.19832.83,Quan 2005,2026-09-11,"Apply one frozen implementation to DX2-DX40 for every year"
Hospital Frailty Risk Score,"Claims-based frailty score for patients aged 75 years or older",peer reviewed,https://doi.org/10.1016/S0140-6736(18)30668-8,Gilbert 2018,2026-09-11,"Age >=75 only; younger patients marked not applicable"
Comorbidity implementation,"Quan mappings and HFRS implementation",software,https://pypi.org/project/comorbidipy/,0.5.0,2026-09-11,"Pin version and record pandas compatibility shim"
Cost conversion,"Hospital-specific cost-to-charge ratio",official HCUP,https://hcup-us.ahrq.gov/db/ccr/costtocharge.jsp,2018-2022,2026-09-11,"TOTCHG multiplied by CCR_NRD; facility cost only"
CPI inflation,"Annual average CPI-U",official BLS,https://www.bls.gov/cpi/tables/supplemental-files/home.htm,2018-2022,2026-09-11,"Inflate facility cost to 2022 dollars; do not apply unverified wage-index standardization"
